ENTRY     MEANGROWTHY2    GROWTHMEANY2    MEANGROWTHY3    GROWTHMEANY3
 2009:02   2.94286762194   2.84864783224   3.24754320752   3.18264879629
 2009:03   3.02611215598   3.09484189724   3.14974427705   3.04897329781
 2009:04   3.01574700858   2.99456106951   3.10899627260   3.03358988679
 2010:01   3.26596909923   3.03897378180   3.07949322953   3.12925746140
 2010:02   3.22234676103   3.19307267335   3.18108675889   3.21048700383
 2010:03   3.32215453465   3.38735764172   3.30281574380   3.17902303524
 2010:04   3.13919657342   3.11566539903   3.20933728288   3.16461538947
 2011:01   3.21130872694   3.14694660115   3.20338328548   3.32182622477
 2011:02   3.07783112685   2.98014811381   3.22327233594   3.34121263953
 2011:03   2.86924367873   2.95354625914   3.18374685597   3.17399789354
 2011:04   2.77885582614   2.77710072276   3.33296936668   3.39619961380
 2012:01   3.18364385166   3.24913011095   3.10540630590   3.09775984683
 2012:02   3.08105818345   3.08422178552   3.23664495545   3.26558392083
 2012:03   2.81940504176   2.79950481267   2.84747620899   2.88066120378
 2012:04   2.86843805058   2.86759813797   3.07759652277   3.22211104601
 2013:01   2.92437152332   3.02407678529   2.88446576701   2.92093376158
 2013:02   3.09868378439   3.14106127518   2.99529656009   3.01606695912
 2013:03   2.90581469080   2.99632155709   2.83143033147   2.79577116171
 2013:04   2.95738002308   2.96824364722   2.82079195153   2.73339133601
 2014:01   2.99428891899   3.09429351660   2.73985072589   2.70470223970
 2014:02   2.97865797042   3.03319165678   2.76758437762   2.83385445025
 2014:03   2.93541528613   2.96393776296   2.73878851944   2.70133786022
 2014:04   2.89618572864   2.91367290558   2.71531383626   2.65924811945
 2015:01   2.83573599759   2.85038567473   2.70203228262   2.58226931527
 2015:02   2.81093475168   2.86422428390   2.73774995616   2.69380967456
 2015:03   2.76351199552   2.75257264552   2.56794654183   2.54702613336
 2015:04   2.62683041844   2.64503097278   2.53973582454   2.49568752969
 2016:01   2.41879461295   2.60961300115   2.34612553917   2.33037696932
 2016:02   2.31937306332   2.36130682048   2.25761217445   2.30392047194
 2016:03   2.23903787681   2.30608779690   2.29262845482   2.26815563241
 2016:04   2.20451497168   2.20235627228   2.26216937816   2.38579641166
 2017:01   2.34772928706   2.44434881068   2.10788845327   2.19071067438
 2017:02   2.27119837814   2.33668954942   2.14777314790   2.29091287949
 2017:03   2.23923337818   2.29595586542   2.15102187359   2.13130629679
 2017:04   2.22732751438   2.27981901082   1.98051529368   1.93792274885
 2018:01   2.01287493283   2.04256646834   2.02134361884   1.91234351217
 2018:02   2.05543642622   2.06622459282   2.00343933792   2.16327861346
 2018:03   1.99432779178   1.95050735396   1.91526169822   1.89325994144
 2018:04   2.00609601630   2.00757018350   2.03711538821   2.03931680927
 2019:01   1.87019367508   1.91565747681   2.11732992094   2.23376219239
 2019:02   1.94192846050   1.92097248536   2.13381957061   2.32968756227
 2019:03   2.03582519585   2.05565160729   2.13205210945   2.25623829830
 2019:04   1.85879218739   1.85002891074   2.02885783843   2.21789957465
 2020:01   2.02495631098   2.17146665273   1.85870937416   1.95315296509
 2020:02   3.51545031144   3.75117925594   2.74736449700   2.69153153657
 2020:03   3.28743053066   3.47696470306   2.41020554671   2.16770641159
 2020:04   2.85735247944   2.87099254993   2.37888706520   2.37971469311
 2021:01   2.54885179633   2.44306074626   2.24423217221   2.32908106519
 2021:02   2.52221317631   2.84885879692   2.20021593567   2.35266780000
 2021:03   2.64870192847   2.69412299063   2.22743316686   2.18265868142
 2021:04   2.76878977512   2.71332464057   2.33333879851   2.33094347911
 2022:01   2.34637994859   2.41336961277   2.29321067194   2.22258312128
 2022:02   2.16122772055   2.12325402098   2.13484724375   2.21028863003
